1792	2815	0	1805	2644	8
2048	2815	0	2029	2651	7
2303	2815	0	2259	2659	8
2559	2815	0	2474	2667	8
2815	2815	0	2688	2672	8
3071	2815	0	2913	2679	8
3327	2815	0	3124	2687	6
3583	2815	0	3326	2694	6
3839	2815	0	3547	2701	6
4095	2815	0	3772	2708	6
0	3071	0	154	2838	10
256	3071	0	398	2849	10
512	3071	0	643	2853	10
768	3071	0	895	2858	10
1024	3071	0	1133	2865	10
1280	3071	0	1371	2872	9
1536	3071	0	1593	2879	9
1792	3071	0	1821	2884	9
2048	3071	0	2045	2892	9
2303	3071	0	2273	2897	9
2559	3071	0	2487	2905	9
2815	3071	0	2703	2913	8
3071	3071	0	2928	2922	8
3327	3071	0	3137	2930	8
3583	3071	0	3343	2938	8
3839	3071	0	3567	2946	8
4095	3071	0	3791	2953	8
0	3327	0	168	3055	11
256	3327	0	411	3066	11
512	3327	0	658	3069	11
768	3327	0	909	3072	11
1024	3327	0	1148	3079	10
1280	3327	0	1384	3084	10
1536	3327	0	1605	3092	10
1792	3327	0	1834	3097	10
2048	3327	0	2059	3103	10
2303	3327	0	2287	3109	10
2559	3327	0	2501	3118	9
2815	3327	0	2718	3125	9
3071	3327	0	2943	3134	9
3327	3327	0	3150	3141	9
3583	3327	0	3356	3149	9
3839	3327	0	3581	3156	9
4095	3327	0	3805	3163	8
0	3583	0	181	3270	12
256	3583	0	424	3282	12
512	3583	0	673	3287	11
768	3583	0	922	3290	11
1024	3583	0	1161	3296	11
1280	3583	0	1397	3301	11
1536	3583	0	1619	3308	11
1792	3583	0	1847	3315	11
2048	3583	0	2071	3318	10
2303	3583	0	2301	3329	10
2559	3583	0	2513	3337	10
2815	3583	0	2731	3346	10
3071	3583	0	2957	3355	10
3327	3583	0	3161	3361	10
3583	3583	0	3368	3369	9
3839	3583	0	3596	3379	9
4095	3583	0	3818	3387	9
0	3839	0	194	3506	13
256	3839	0	437	3516	12
512	3839	0	688	3522	12
768	3839	0	937	3527	12
1024	3839	0	1176	3532	12
1280	3839	0	1409	3538	12
1536	3839	0	1633	3543	12
1792	3839	0	1860	3550	11
2048	3839	0	2085	3558	11
2303	3839	0	2313	3567	11
2559	3839	0	2525	3577	11
2815	3839	0	2744	3586	11
3071	3839	0	2971	3595	11
3327	3839	0	3172	3602	10
3583	3839	0	3381	3609	10
3839	3839	0	3612	3619	10
4095	3839	0	3833	3631	10
0	4095	0	208	3728	13
256	4095	0	451	3735	13
512	4095	0	703	3739	13
768	4095	0	952	3746	13
1024	4095	0	1192	3752	13
1280	4095	0	1424	3758	12
1536	4095	0	1649	3764	12
1792	4095	0	1878	3770	12
2048	4095	0	2102	3777	12
2303	4095	0	2330	3785	12
2559	4095	0	2539	3792	12
2815	4095	0	2759	3799	12
3071	4095	0	2987	3808	11
3327	4095	0	3185	3814	11
3583	4095	0	3398	3824	11
3839	4095	0	3630	3834	11
4095	4095	0	3848	3845	11
0	0	256	10	3	228
256	0	256	262	7	227
512	0	256	489	10	228
768	0	256	741	14	227
1024	0	256	982	18	229
1280	0	256	1223	21	228
1536	0	256	1454	24	228
1792	0	256	1676	29	228
